500 500
0 351 474
1 36 173
2 17 86
3 202 394
4 398 262
4 336 379
5 232 159
5 278 186
5 438 478
6 435 329
7 225 106
8 471 162
9 278 75
9 342 103
9 416 334
9 47 449
10 127 55
11 118 15
11 352 407
12 364 54
12 346 118
12 110 361
12 483 377
13 17 11
13 251 178
13 310 414
13 445 488
14 220 147
14 63 229
14 59 498
15 181 51
15 224 63
15 275 292
15 246 450
16 80 77
17 13 11
17 2 86
18 172 60
19 299 299
19 168 492
20 452 388
20 200 441
21 192 58
22 296 385
23 262 257
23 386 297
24 449 267
25 290 96
25 357 451
26 107 277
26 337 355
26 325 396
28 42 2
28 70 76
29 372 44
30 72 244
30 251 270
30 332 347
31 73 484
32 187 337
33 43 133
33 298 392
36 142 109
36 1 173
37 311 41
37 241 485
38 377 111
38 457 192
38 159 205
38 152 261
38 431 381
39 376 179
40 425 116
40 162 446
41 477 53
41 389 475
42 28 2
43 33 133
43 335 367
45 334 265
45 472 354
46 90 98
46 420 196
47 317 78
47 408 130
47 463 237
47 9 449
48 258 141
49 90 89
49 118 211
50 152 104
50 407 165
50 257 357
51 223 69
51 278 366
51 387 499
52 175 263
52 408 282
53 261 47
53 392 373
54 497 258
54 105 276
54 97 300
55 204 87
55 409 203
55 454 391
56 168 62
56 270 139
57 227 442
58 65 275
58 479 426
59 14 498
60 236 480
61 329 310
62 293 490
63 437 70
63 14 229
63 213 399
63 175 406
64 324 135
64 468 259
64 239 362
65 58 275
65 289 335
66 389 246
66 104 473
67 432 183
68 162 16
68 306 169
69 279 269
69 246 274
69 310 348
70 28 76
70 160 363
70 218 368
71 257 72
71 102 238
72 286 146
72 30 244
73 208 132
73 86 264
73 332 433
73 31 484
75 495 59
75 158 236
75 303 336
75 149 341
76 391 493
77 461 497
78 406 56
79 290 6
80 480 23
80 16 77
80 255 467
81 190 184
81 458 281
81 395 384
81 297 405
82 306 456
83 349 33
83 228 206
85 336 52
85 302 323
86 375 180
86 73 264
87 197 225
87 479 481
89 416 445
89 180 469
90 337 18
90 49 89
90 46 98
90 255 149
90 490 462
91 345 57
92 98 476
93 480 228
93 477 302
94 339 212
94 116 393
95 453 43
95 402 168
95 238 320
96 285 112
96 234 321
97 101 293
97 54 300
98 156 330
98 92 476
99 383 166
99 459 271
99 350 470
99 231 491
100 461 315
101 97 293
101 351 343
102 483 172
102 71 238
103 155 39
103 153 327
104 294 108
104 412 305
104 66 473
104 208 489
105 440 49
105 54 276
105 313 283
106 453 93
106 117 346
107 26 277
107 455 312
107 112 352
108 115 90
109 375 412
110 162 32
110 12 361
111 430 324
111 287 455
112 236 67
112 310 156
112 107 352
112 360 464
113 437 46
114 351 290
114 309 494
115 108 90
115 148 126
116 222 81
116 154 200
116 228 201
116 397 214
116 94 393
117 106 346
118 11 15
118 49 211
118 271 233
119 292 465
120 361 88
120 123 241
120 240 268
120 422 461
121 405 463
122 426 48
123 120 241
123 394 389
123 356 418
125 295 82
125 210 239
125 171 240
125 284 409
126 217 170
127 10 55
127 236 319
127 159 331
128 354 84
128 357 142
129 479 73
129 244 127
133 167 177
134 222 10
134 453 34
134 399 122
134 211 411
136 326 45
136 351 311
138 478 202
138 350 306
139 232 459
140 250 395
142 36 109
142 318 235
142 236 288
143 399 487
144 305 101
145 221 207
145 311 223
145 231 304
147 232 185
147 336 387
148 115 126
148 188 284
149 418 328
149 75 341
151 419 415
151 415 457
152 50 104
152 412 193
152 38 261
152 285 479
153 103 327
154 334 4
154 455 35
154 320 92
154 324 190
154 116 200
154 286 322
155 103 39
155 330 369
156 98 330
158 330 68
158 75 236
158 418 252
159 232 12
159 38 205
159 127 331
