1000 1000
0 901 623
1 703 474
1 794 550
1 913 652
3 72 173
3 330 743
3 309 862
4 35 86
4 287 711
6 405 394
6 104 670
6 21 782
6 878 925
7 426 547
7 72 562
7 103 607
8 797 262
8 672 379
8 828 773
10 557 186
10 877 478
11 464 159
11 200 834
11 137 960
12 870 329
14 533 831
15 451 106
17 943 162
17 20 505
17 162 750
17 819 962
18 557 75
18 833 334
18 94 449
18 585 612
19 685 103
19 497 770
19 809 841
20 17 505
21 255 55
21 366 602
21 6 782
21 586 786
23 236 15
23 705 407
23 412 887
23 813 916
23 663 945
24 692 118
24 221 361
25 729 54
25 967 377
25 261 584
26 812 775
26 832 857
27 35 11
27 502 178
27 621 414
27 890 488
28 127 229
28 118 498
28 255 611
28 421 816
29 441 147
30 448 63
30 551 292
30 493 450
30 886 610
30 680 669
31 362 51
31 683 822
31 349 927
31 741 959
32 276 619
32 112 657
32 520 901
33 161 77
35 27 11
35 4 86
36 344 60
36 593 868
38 598 299
38 408 717
39 337 492
39 239 892
39 333 895
40 904 388
40 400 441
42 684 527
42 786 576
42 999 635
42 730 893
43 385 58
44 593 385
45 115 653
45 210 883
46 524 257
47 772 297
47 367 591
47 320 594
47 780 918
49 898 267
50 93 804
51 581 96
51 714 451
51 910 586
51 78 845
51 151 972
52 651 396
53 215 277
53 674 355
54 807 732
54 253 979
55 659 692
56 84 2
56 140 76
58 744 44
59 206 704
60 502 270
61 144 244
61 665 347
61 191 734
62 147 484
63 625 511
63 122 923
64 375 337
64 614 996
66 86 133
66 307 915
67 596 392
67 628 729
70 162 572
70 452 792
70 776 952
71 331 675
72 3 173
72 7 562
72 207 937
73 284 109
74 483 485
75 623 41
75 942 808
76 754 111
76 914 192
76 862 381
77 318 205
77 305 261
78 51 845
79 753 179
80 850 116
80 325 446
80 828 663
80 682 766
80 921 935
82 954 53
83 778 475
84 56 2
84 283 631
84 348 708
86 66 133
86 670 367
86 904 531
86 736 668
86 744 871
86 495 928
89 535 517
89 460 564
89 310 636
90 945 354
90 334 520
91 669 265
92 840 196
92 948 752
93 181 98
93 50 804
94 18 449
95 635 78
95 817 130
95 926 237
96 516 141
96 267 846
98 461 720
99 181 89
99 237 211
99 644 641
100 815 165
100 514 357
101 305 104
102 447 69
102 557 366
102 851 710
102 411 787
103 775 499
103 7 607
104 300 546
104 6 670
104 148 866
104 269 1001
105 350 263
105 817 282
105 491 629
106 522 47
106 232 538
106 664 614
107 784 373
108 995 258
108 211 276
108 195 300
110 909 391
111 408 87
111 818 203
111 563 658
111 675 755
112 540 139
112 32 657
112 208 890
113 337 62
114 454 442
114 961 512
115 45 653
115 703 891
116 131 275
117 958 426
118 28 498
118 310 788
118 382 905
119 288 694
120 423 917
120 466 998
121 472 480
122 659 310
122 63 923
122 873 947
124 186 724
125 586 490
126 426 399
127 874 70
127 28 229
127 350 406
128 648 135
128 937 259
129 478 362
131 116 275
131 579 335
131 205 627
132 778 246
132 461 644
132 275 820
133 209 473
134 864 183
134 694 597
136 325 16
136 737 508
136 640 703
137 612 169
137 589 650
137 559 851
137 11 960
138 558 269
